enzyme	enzNames	genes	subSystems	usage	usage_regulated	usage_ratio
P21954	IDP1	YDL066W	TCA // TCA	0.000312	0.000228	0.730769230770094
P22289	QCR9	YGR183C	Oxidative Phosphorylation	0.00016	0.000142	0.887500000000703
P23254	TKL1	YPR074C	pentose phosphate // pentose phosphate // pentose phosphate // pentose phosphate	0.000114	0.000123	1.07894736842036
P26263	PDC6	YGR087C	Anaerobic excretion	0	0.000272	272000000001
P28240	ICL1	YER065C	Anaplerotic reactions 	0	0	1
P30902	ATP7	YKL016C	Oxidative Phosphorylation	0.000338	0.0003	0.887573964497374
P30952	MLS1	YNL117W	Anaplerotic reactions 	0	0	1
P32327	PYC2	YBR218C	TCA	0	0	1
P32340	NDI1	YML120C	Oxidative Phosphorylation	0.000251	0.000226	0.900398406374899
P32473	PDB1	YBR221C	Other	0.000372	0.000325	0.873655913978834
P32799	COX13	YGL191W	Oxidative Phosphorylation	0.000102	9e-05	0.882352941177624
P33315	TKL2	YBR117C	pentose phosphate // pentose phosphate // pentose phosphate // pentose phosphate	0	0	1
P33401	PGM1	YKL127W	Galactose metabolism // Galactose metabolism	0	0	1
P33421	SDH3	YKL141W	TCA // TCA	1.7e-05	1.2e-05	0.705882352958478
P37012	PGM2	YMR105C	Galactose metabolism // Galactose metabolism	0	0	1
P37298	SDH4	YDR178W	TCA // TCA	1.5e-05	1.1e-05	0.733333333351111
P37299	QCR10	YHR001W-A	Oxidative Phosphorylation	0.000184	0.000163	0.885869565218012
P38077	ATP3	YBR039W	Oxidative Phosphorylation	0.000586	0.00052	0.887372013652069
P38113	ADH5	YBR145W	Anaerobic excretion // Anaerobic excretion	0	0	1
P38720	GND1	YHR183W	pentose phosphate	0.000303	0.000298	0.983498349835038
P38824	COX23	YHR116W	Oxidative Phosphorylation	0	1e-05	10000000001
P38858	SOL3	YHR163W	pentose phosphate	0.000586	0.000576	0.982935153583647
P40047	ALD5	YER073W	Phenylalanine, tyrosine, and tryptophan biosynthesis (aromatic amino acids)	0	1.8e-05	18000000001
P40106	GPP2	YER062C	Anaerobic excretion	0	0	1
P40215	NDE1	YMR145C	Oxidative Phosphorylation	0	0	1
P41277	GPP1	YIL053W	Anaerobic excretion	0	6e-06	6000000001
P41911	GPD2	YOL059W	Anaerobic excretion	0	0	1
P42222	ERR3	YMR323W	Glycolysis // Glycolysis	0.001065	0.000914	0.858215962441448
P43635	CIT3	YPR001W	TCA	0	0	1
P46367	ALD4	YOR374W	Phenylalanine, tyrosine, and tryptophan biosynthesis (aromatic amino acids)	0	0	1
P46969	RPE1	YJL121C	pentose phosphate // pentose phosphate	2.4e-05	2.6e-05	1.08333333332986
P47052	YJL045W	YJL045W	TCA	0	0	1
P47081	COX16	YJL003W	Oxidative Phosphorylation	0	8e-06	8000000001
P47771	ALD2	YMR170C	Phenylalanine, tyrosine, and tryptophan biosynthesis (aromatic amino acids)	0	0	1
P52489	PYK2	YOR347C	Glycolysis	0	0	1
P52910	ACS2	YLR153C	Other	6.7e-05	6.7e-05	1
P53239	COX18	YGR062C	Oxidative Phosphorylation	0	2.1e-05	21000000001
P53312	LSC2	YGR244C	TCA	3.9e-05	2.7e-05	0.692307692315582
P53315	SOL4	YGR248W	pentose phosphate	0	4.7e-05	47000000001
P53319	GND2	YGR256W	pentose phosphate	0	2.4e-05	24000000001
P53598	LSC1	YOR142W	TCA	2.9e-05	2e-05	0.689655172424495
P54115	ALD6	YPL061W	Anaerobic excretion	0.000605	0.00054	0.892561983471252
P61829	OLI1	Q0130	Oxidative Phosphorylation	0.000132	0.000117	0.886363636364497
P81449	TIM11	YDR322C-A	Oxidative Phosphorylation	0.000186	0.000165	0.887096774194155
P81450	ATP18	YML081C-A	Oxidative Phosphorylation	0.000114	0.000101	0.885964912281702
P81451	ATP19	YOL077W-A	Oxidative Phosphorylation	0.000129	0.000114	0.88372093023346
Q00055	GPD1	YDL022W	Anaerobic excretion	0	1e-06	1000000001
Q00711	SDH1	YKL148C	TCA	5.3e-05	3.7e-05	0.698113207552866
Q01519	COX12	YLR038C	Oxidative Phosphorylation	6.6e-05	5.9e-05	0.893939393941001
Q01574	ACS1	YAL054C	Other	0	0	1
Q04458	HFD1	YMR110C	Phenylalanine, tyrosine, and tryptophan biosynthesis (aromatic amino acids)	0	3.5e-05	35000000001
Q04935	COX20	YDR231C	Oxidative Phosphorylation	0	1.4e-05	14000000001
Q06204	YLR446W	YLR446W	Glycolysis	0	0.000104	104000000001
Q06405	ATP17	YDR377W	Oxidative Phosphorylation	0.000193	0.000171	0.886010362694891
Q07500	NDE2	YDL085W	Oxidative Phosphorylation	0	0	1
Q12055	FAP7	YDL166C	Salvage pathways // Salvage pathways	2.5e-05	2.5e-05	1
Q12165	ATP16	YDL004W	Oxidative Phosphorylation	0.00029	0.000258	0.889655172414174
Q12189	RKI1	YOR095C	pentose phosphate // pentose phosphate	0.000293	0.000305	1.04095563139918
Q12233	ATP20	YPR020W	Oxidative Phosphorylation	0.00022	0.000196	0.890909090909587
Q12349	ATP14	YLR295C	Oxidative Phosphorylation	0.000241	0.000214	0.887966804979718
Q3E731	COX19	YLL018C-A	Oxidative Phosphorylation	0	6e-06	6000000001
