enzyme	enzNames	genes	subSystems	usage	usage_regulated	usage_ratio
P42222	ERR3	YMR323W	Glycolysis // Glycolysis	8.3e-05	0.001294	15.5903614456073
P43635	CIT3	YPR001W	TCA	0	6e-06	6000000001
P46367	ALD4	YOR374W	Phenylalanine, tyrosine, and tryptophan biosynthesis (aromatic amino acids)	0	2.3e-05	23000000001
P46969	RPE1	YJL121C	pentose phosphate // pentose phosphate	1e-05	1.1e-05	1.09999999999
P47052	YJL045W	YJL045W	TCA	0	7e-06	7000000001
P47081	COX16	YJL003W	Oxidative Phosphorylation	0	0.000135	135000000001
P47771	ALD2	YMR170C	Phenylalanine, tyrosine, and tryptophan biosynthesis (aromatic amino acids)	0	3.2e-05	32000000001
P52489	PYK2	YOR347C	Glycolysis	0	1.3e-05	13000000001
P52910	ACS2	YLR153C	Other	1.7e-05	6.5e-05	3.82352941159862
P53239	COX18	YGR062C	Oxidative Phosphorylation	0	0.000342	342000000001
P53312	LSC2	YGR244C	TCA	4.7e-05	5.2e-05	1.10638297872114
P53315	SOL4	YGR248W	pentose phosphate	0	0	1
P53319	GND2	YGR256W	pentose phosphate	0	6e-06	6000000001
P53598	LSC1	YOR142W	TCA	3.5e-05	3.9e-05	1.11428571428245
P54115	ALD6	YPL061W	Anaerobic excretion	3.4e-05	0	2.94117647050173e-11
P61829	OLI1	Q0130	Oxidative Phosphorylation	8.5e-05	9.4e-05	1.10588235293993
P81449	TIM11	YDR322C-A	Oxidative Phosphorylation	0.000118	0.000131	1.11016949152449
P81450	ATP18	YML081C-A	Oxidative Phosphorylation	7.3e-05	8.1e-05	1.10958904109439
P81451	ATP19	YOL077W-A	Oxidative Phosphorylation	8.2e-05	9.1e-05	1.10975609755964
Q00055	GPD1	YDL022W	Anaerobic excretion	0	1e-06	1000000001
Q00711	SDH1	YKL148C	TCA	6.5e-05	6.7e-05	1.03076923076876
Q01519	COX12	YLR038C	Oxidative Phosphorylation	4.3e-05	4.5e-05	1.0465116279059
Q01574	ACS1	YAL054C	Other	0	2.5e-05	25000000001
Q04458	HFD1	YMR110C	Phenylalanine, tyrosine, and tryptophan biosynthesis (aromatic amino acids)	0	5.6e-05	56000000001
Q04935	COX20	YDR231C	Oxidative Phosphorylation	0	0.000228	228000000001
Q06204	YLR446W	YLR446W	Glycolysis	0	0	1
Q06405	ATP17	YDR377W	Oxidative Phosphorylation	0.000123	0.000137	1.11382113821046
Q07500	NDE2	YDL085W	Oxidative Phosphorylation	0	5e-06	5000000001
Q12055	FAP7	YDL166C	Salvage pathways // Salvage pathways	6e-06	3.3e-05	5.49999999925
Q12165	ATP16	YDL004W	Oxidative Phosphorylation	0.000185	0.000206	1.1135135135129
Q12189	RKI1	YOR095C	pentose phosphate // pentose phosphate	9.6e-05	0.000103	1.07291666666591
Q12233	ATP20	YPR020W	Oxidative Phosphorylation	0.000141	0.000156	1.10638297872265
Q12349	ATP14	YLR295C	Oxidative Phosphorylation	0.000154	0.000171	1.11038961038889
Q3E731	COX19	YLL018C-A	Oxidative Phosphorylation	0	0.000107	107000000001
