enzyme	enzNames	genes	subSystems	usage	usage_regulated	usage_ratio
P16387	PDA1	YER178W	Other	0.00043	0.000411	0.955813953488475
P16451	PDX1	YGR193C	Other	3.1e-05	2.9e-05	0.935483870969823
P16467	PDC5	YLR134W	Anaerobic excretion	0	0	1
P16861	PFK1	YGR240C	Glycolysis	0	0	1
P16862	PFK2	YMR205C	Glycolysis // Glycolysis	0.000762	0.000785	1.03018372703408
P17505	MDH1	YKL085W	TCA // TCA	3.1e-05	2.8e-05	0.903225806454735
P17709	GLK1	YCL040W	Glycolysis	0	0	1
P19414	ACO1	YLR304C	TCA // TCA	0.000108	9.7e-05	0.898148148149091
P19516	COX11	YPL132W	Oxidative Phosphorylation	0	0	1
P20967	KGD1	YIL125W	TCA	0.000681	0.000601	0.882525697503844
P21306	ATP15	YPL271W	Oxidative Phosphorylation	0.000115	0.00011	0.956521739130813
P21801	SDH2	YLL041C	TCA // TCA	2.3e-05	2e-05	0.869565217396975
P21826	DAL7	YIR031C	Anaplerotic reactions 	0	0	1
P21954	IDP1	YDL066W	TCA // TCA	0.000312	0.000278	0.89102564102599
P22289	QCR9	YGR183C	Oxidative Phosphorylation	0.00016	0.000153	0.956250000000273
P23254	TKL1	YPR074C	pentose phosphate // pentose phosphate // pentose phosphate // pentose phosphate	0.000114	0.000119	1.04385964912242
P26263	PDC6	YGR087C	Anaerobic excretion	0	0	1
P28240	ICL1	YER065C	Anaplerotic reactions 	0	4e-06	4000000001
P30902	ATP7	YKL016C	Oxidative Phosphorylation	0.000338	0.000324	0.958579881656927
P30952	MLS1	YNL117W	Anaplerotic reactions 	0	3e-06	3000000001
P32327	PYC2	YBR218C	TCA	0	0	1
P32340	NDI1	YML120C	Oxidative Phosphorylation	0.000251	0.000242	0.964143426294964
P32473	PDB1	YBR221C	Other	0.000372	0.000355	0.95430107526894
P32799	COX13	YGL191W	Oxidative Phosphorylation	0.000102	9.8e-05	0.960784313725875
P33315	TKL2	YBR117C	pentose phosphate // pentose phosphate // pentose phosphate // pentose phosphate	0	0	1
P33401	PGM1	YKL127W	Galactose metabolism // Galactose metabolism	0	0	1
P33421	SDH3	YKL141W	TCA // TCA	1.7e-05	1.5e-05	0.882352941183391
P37012	PGM2	YMR105C	Galactose metabolism // Galactose metabolism	0	0	1
P37298	SDH4	YDR178W	TCA // TCA	1.5e-05	1.4e-05	0.933333333337778
P37299	QCR10	YHR001W-A	Oxidative Phosphorylation	0.000184	0.000176	0.956521739130671
P38077	ATP3	YBR039W	Oxidative Phosphorylation	0.000586	0.000562	0.959044368600752
P38113	ADH5	YBR145W	Anaerobic excretion // Anaerobic excretion	0	0	1
P38720	GND1	YHR183W	pentose phosphate	0.000303	0.000313	1.03300330032992
P38824	COX23	YHR116W	Oxidative Phosphorylation	0	0	1
P38858	SOL3	YHR163W	pentose phosphate	0.000586	0.000606	1.03412969283271
P40047	ALD5	YER073W	Phenylalanine, tyrosine, and tryptophan biosynthesis (aromatic amino acids)	0	0	1
P40106	GPP2	YER062C	Anaerobic excretion	0	0	1
P40215	NDE1	YMR145C	Oxidative Phosphorylation	0	0	1
P41277	GPP1	YIL053W	Anaerobic excretion	0	0	1
P41911	GPD2	YOL059W	Anaerobic excretion	0	0	1
P42222	ERR3	YMR323W	Glycolysis // Glycolysis	0.001065	0.001091	1.02441314553988
P43635	CIT3	YPR001W	TCA	0	0	1
P46367	ALD4	YOR374W	Phenylalanine, tyrosine, and tryptophan biosynthesis (aromatic amino acids)	0	1.8e-05	18000000001
P46969	RPE1	YJL121C	pentose phosphate // pentose phosphate	2.4e-05	2.5e-05	1.04166666666493
P47052	YJL045W	YJL045W	TCA	0	4e-06	4000000001
P47081	COX16	YJL003W	Oxidative Phosphorylation	0	0	1
P47771	ALD2	YMR170C	Phenylalanine, tyrosine, and tryptophan biosynthesis (aromatic amino acids)	0	0	1
P52489	PYK2	YOR347C	Glycolysis	0	0	1
P52910	ACS2	YLR153C	Other	6.7e-05	4.9e-05	0.731343283586099
P53239	COX18	YGR062C	Oxidative Phosphorylation	0	0	1
P53312	LSC2	YGR244C	TCA	3.9e-05	3.4e-05	0.871794871798159
P53315	SOL4	YGR248W	pentose phosphate	0	0	1
P53319	GND2	YGR256W	pentose phosphate	0	0	1
P53598	LSC1	YOR142W	TCA	2.9e-05	2.5e-05	0.862068965521998
P54115	ALD6	YPL061W	Anaerobic excretion	0.000605	0.000569	0.940495867768693
P61829	OLI1	Q0130	Oxidative Phosphorylation	0.000132	0.000127	0.962121212121499
P81449	TIM11	YDR322C-A	Oxidative Phosphorylation	0.000186	0.000178	0.956989247312059
P81450	ATP18	YML081C-A	Oxidative Phosphorylation	0.000114	0.000109	0.956140350877578
P81451	ATP19	YOL077W-A	Oxidative Phosphorylation	0.000129	0.000123	0.953488372093384
Q00055	GPD1	YDL022W	Anaerobic excretion	0	0	1
Q00711	SDH1	YKL148C	TCA	5.3e-05	4.4e-05	0.830188679248487
Q01519	COX12	YLR038C	Oxidative Phosphorylation	6.6e-05	6.4e-05	0.969696969697429
Q01574	ACS1	YAL054C	Other	0	1.8e-05	18000000001
Q04458	HFD1	YMR110C	Phenylalanine, tyrosine, and tryptophan biosynthesis (aromatic amino acids)	0	0	1
Q04935	COX20	YDR231C	Oxidative Phosphorylation	0	0	1
Q06204	YLR446W	YLR446W	Glycolysis	0	0	1
Q06405	ATP17	YDR377W	Oxidative Phosphorylation	0.000193	0.000185	0.958549222798142
Q07500	NDE2	YDL085W	Oxidative Phosphorylation	0	0	1
Q12055	FAP7	YDL166C	Salvage pathways // Salvage pathways	2.5e-05	2.5e-05	1
Q12165	ATP16	YDL004W	Oxidative Phosphorylation	0.00029	0.000279	0.962068965517372
Q12189	RKI1	YOR095C	pentose phosphate // pentose phosphate	0.000293	0.0003	1.02389078498285
Q12233	ATP20	YPR020W	Oxidative Phosphorylation	0.00022	0.000212	0.963636363636529
Q12349	ATP14	YLR295C	Oxidative Phosphorylation	0.000241	0.000231	0.958506224066562
Q3E731	COX19	YLL018C-A	Oxidative Phosphorylation	0	0	1
